STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
"42","101","006000","4010","421010060004010",Block 4010,G5040,R,,,S,7081,0,"+39.9127841","-075.2416527"
"42","101","006000","1022","421010060001022",Block 1022,G5040,R,,,S,2355,0,"+39.9078492","-075.2416485"
"42","101","006000","1011","421010060001011",Block 1011,G5040,R,,,S,11298,0,"+39.9122192","-075.2399230"
"42","101","005400","1003","421010054001003",Block 1003,G5040,R,,,S,101506,0,"+39.8953721","-075.2522886"
"42","101","013702","2019","421010137022019",Block 2019,G5040,R,,,S,4070,0,"+39.9736959","-075.1812651"
"42","101","005500","2011","421010055002011",Block 2011,G5040,R,,,S,13943,0,"+39.9086555","-075.2433105"
"42","101","005400","1011","421010054001011",Block 1011,G5040,R,,,S,17229,0,"+39.8916266","-075.2468646"
"42","101","021300","3000","421010213003000",Block 3000,G5040,R,,,S,20439,0,"+40.0319314","-075.2149334"
"42","101","021000","1002","421010210001002",Block 1002,G5040,R,,,S,15463,0,"+40.0275809","-075.2155347"
"42","101","021300","3004","421010213003004",Block 3004,G5040,R,,,S,15711,0,"+40.0295445","-075.2144576"
"42","101","015101","2010","421010151012010",Block 2010,G5040,R,,,S,7076,0,"+39.9877497","-075.1863896"
"42","101","023900","1005","421010239001005",Block 1005,G5040,R,,,S,21829,0,"+40.0331524","-075.1825100"
"42","101","024100","1004","421010241001004",Block 1004,G5040,R,,,S,13332,0,"+40.0333631","-075.1802683"
"42","101","024000","2011","421010240002011",Block 2011,G5040,R,,,S,61919,0,"+40.0273502","-075.1814069"
"42","101","024100","1000","421010241001000",Block 1000,G5040,R,,,S,69410,0,"+40.0358307","-075.1766654"
"42","101","013602","3000","421010136023000",Block 3000,G5040,R,,,S,5629,0,"+39.9719251","-075.1784743"
"42","101","013601","2000","421010136012000",Block 2000,G5040,R,,,S,9526,0,"+39.9699032","-075.1789186"
"42","101","013601","1006","421010136011006",Block 1006,G5040,R,,,S,5473,0,"+39.9686151","-075.1776239"
"42","101","013900","3003","421010139003003",Block 3003,G5040,R,,,S,42530,0,"+39.9722911","-075.1724916"
"42","101","013602","4004","421010136024004",Block 4004,G5040,R,,,S,4910,0,"+39.9703574","-075.1755266"
"42","101","038200","3005","421010382003005",Block 3005,G5040,R,,,S,18255,0,"+40.0045295","-075.0943467"
"42","101","038200","3013","421010382003013",Block 3013,G5040,R,,,S,7107,0,"+40.0034920","-075.0998507"
"42","101","037900","6005","421010379006005",Block 6005,G5040,R,,,S,4437,0,"+39.9887596","-075.0910966"
"42","101","038000","1010","421010380001010",Block 1010,G5040,R,,,S,13589,0,"+40.0032062","-075.0810200"
"42","101","038000","2004","421010380002004",Block 2004,G5040,R,,,S,22207,0,"+40.0093090","-075.0731742"
"42","101","020101","1017","421010201011017",Block 1017,G5040,R,,,S,11322,0,"+40.0043934","-075.1560059"
"42","101","037300","2014","421010373002014",Block 2014,G5040,R,,,S,37986,0,"+39.9114628","-075.1796392"
"42","101","021500","2011","421010215002011",Block 2011,G5040,R,,,S,0,2769,"+40.0310362","-075.2331182"
"42","101","021500","2002","421010215002002",Block 2002,G5040,R,,,S,18708,0,"+40.0354281","-075.2261979"
"42","101","023500","1006","421010235001006",Block 1006,G5040,R,,,S,31864,0,"+40.0366645","-075.1967616"
"42","101","036902","2002","421010369022002",Block 2002,G5040,R,,,S,23557,0,"+39.9515277","-075.1961541"
"42","101","008802","5002","421010088025002",Block 5002,G5040,R,,,S,27857,0,"+39.9536944","-075.2039619"
"42","101","008702","2004","421010087022004",Block 2004,G5040,R,,,S,13604,0,"+39.9542304","-075.2082709"
"42","101","024700","2015","421010247002015",Block 2015,G5040,R,,,S,54039,0,"+40.0411455","-075.1612429"
"42","101","011700","1000","421010117001000",Block 1000,G5040,R,,,S,163312,0,"+39.9945896","-075.2376790"
"42","101","980701","4004","421019807014004",Block 4004,G5040,R,,,S,2127,0,"+39.8989911","-075.1736959"
"42","101","006000","1014","421010060001014",Block 1014,G5040,R,,,S,5674,0,"+39.9056989","-075.2407400"
"42","101","036400","1014","421010364001014",Block 1014,G5040,R,,,S,54641,0,"+40.1123243","-075.0032780"
"42","101","006400","3003","421010064003003",Block 3003,G5040,R,,,S,18284,2239,"+39.9258025","-075.2445620"
"42","101","006500","3014","421010065003014",Block 3014,G5040,R,,,S,8428,0,"+39.9347947","-075.2360250"
"42","101","000806","1001","421010008061001",Block 1001,G5040,R,,,S,1282,0,"+39.9481970","-075.1660663"
"42","101","980800","1010","421019808001010",Block 1010,G5040,R,,,S,314598,6188,"+39.9694855","-075.2683479"
"42","101","033000","3001","421010330003001",Block 3001,G5040,R,,,S,6825,0,"+40.0376066","-075.0366743"
"42","101","033101","1013","421010331011013",Block 1013,G5040,R,,,S,9434,0,"+40.0425450","-075.0334626"
"42","101","033000","1000","421010330001000",Block 1000,G5040,R,,,S,8626,0,"+40.0389188","-075.0336930"
"42","101","035500","2016","421010355002016",Block 2016,G5040,R,,,S,14587,0,"+40.0871317","-075.0309771"
"42","101","035500","1018","421010355001018",Block 1018,G5040,R,,,S,15320,0,"+40.0864691","-075.0272335"
"42","101","035500","2031","421010355002031",Block 2031,G5040,R,,,S,15402,0,"+40.0818705","-075.0286652"
"42","101","034701","2000","421010347012000",Block 2000,G5040,R,,,S,14596,0,"+40.0673721","-075.0292268"
"42","101","034702","1004","421010347021004",Block 1004,G5040,R,,,S,15475,0,"+40.0636353","-075.0264543"
"42","101","013800","1012","421010138001012",Block 1012,G5040,R,,,S,15847,0,"+39.9773870","-075.1772853"
"42","101","000702","1000","421010007021000",Block 1000,G5040,R,,,S,14243,0,"+39.9517904","-075.1745295"
"42","101","005400","1009","421010054001009",Block 1009,G5040,R,,,S,16813,0,"+39.8920247","-075.2475892"
"42","101","002900","3023","421010029003023",Block 3023,G5040,R,,,S,10853,0,"+39.9306716","-075.1649925"
"42","101","036600","1029","421010366001029",Block 1029,G5040,R,,,S,3958,0,"+39.9294851","-075.1464142"
"42","101","002702","2022","421010027022022",Block 2022,G5040,R,,,S,6605,0,"+39.9295344","-075.1468557"
"42","101","003902","2010","421010039022010",Block 2010,G5040,R,,,S,3609,0,"+39.9152101","-075.1767176"
"42","101","980702","1029","421019807021029",Block 1029,G5040,R,,,S,4422,0,"+39.9197530","-075.1479857"
"42","101","029800","5001","421010298005001",Block 5001,G5040,R,,,S,7148,0,"+40.0168394","-075.0710873"
"42","101","009000","2000","421010090002000",Block 2000,G5040,R,,,S,14272,0,"+39.9621725","-075.1869325"
"42","101","014202","3002","421010142023002",Block 3002,G5040,R,,,S,0,7787,"+39.9592907","-075.1305798"
"42","101","006300","4021","421010063004021",Block 4021,G5040,R,,,S,3542,0,"+39.9195289","-075.2389295"
"42","101","003600","3008","421010036003008",Block 3008,G5040,R,,,S,3001,0,"+39.9259856","-075.1934824"
"42","101","037200","2014","421010372002014",Block 2014,G5040,R,,,S,53394,0,"+39.9121926","-075.1637711"
"42","101","020500","1012","421010205001012",Block 1012,G5040,R,,,S,52892,0,"+40.0150543","-075.1579618"
"42","101","980901","3008","421019809013008",Block 3008,G5040,R,,,S,13083,0,"+39.8863242","-075.2134741"
"42","101","036901","3001","421010369013001",Block 3001,G5040,R,,,S,1586,0,"+39.9493824","-075.1927023"
"42","101","004201","4012","421010042014012",Block 4012,G5040,R,,,S,6135,0,"+39.9224252","-075.1500614"
"42","101","980702","1028","421019807021028",Block 1028,G5040,R,,,S,3081,0,"+39.9209467","-075.1480066"
"42","101","004202","2000","421010042022000",Block 2000,G5040,R,,,S,6621,0,"+39.9162529","-075.1514186"
"42","101","004202","2015","421010042022015",Block 2015,G5040,R,,,S,22650,0,"+39.9146015","-075.1490161"
"42","101","004201","4000","421010042014000",Block 4000,G5040,R,,,S,9518,0,"+39.9236340","-075.1499506"
"42","101","004101","5005","421010041015005",Block 5005,G5040,R,,,S,6613,0,"+39.9217740","-075.1576303"
